,word,frequency,POS
0,the,64020,PRON
7,and,51696,CCONJ
16,of,34667,ADP
77,to,13580,ADP
27,that,12912,PRON
2,in,12667,ADP
34,he,10419,PRON
146,shall,9838,AUX
52,unto,8997,ADP
79,for,8970,ADP
142,i,8854,PRON
69,his,8473,PRON
40,a,8177,PRON
169,lord,7830,PROPN
168,they,7376,PRON
24,be,7013,AUX
72,is,6989,AUX
136,him,6659,PRON
175,not,6596,PART
78,them,6430,PRON
28,it,6129,PRON
315,with,6012,ADP
134,all,5620,PRON
236,thou,5474,NOUN
331,thy,4600,PRON
9,was,4522,AUX
4,god,4442,PROPN
45,which,4413,PRON
276,my,4368,PRON
343,me,4096,PRON
21,said,3999,VERB
180,but,3992,CCONJ
294,ye,3983,PRON
110,their,3932,PRON
129,have,3904,VERB
248,will,3836,AUX
336,thee,3826,ADJ
31,from,3642,ADP
308,as,3520,ADP
165,are,2950,AUX
167,when,2834,SCONJ
273,this,2785,PRON
200,out,2775,ADV
38,were,2772,AUX
14,upon,2748,SCONJ
619,by,2625,ADP
144,you,2614,PRON
125,man,2613,NOUN
2046,israel,2565,PROPN
182,up,2380,ADV
460,son,2370,NOUN
23,there,2299,ADV
100,hath,2264,PROPN
1023,king,2257,NOUN
304,then,2169,ADV
887,people,2139,NOUN
402,came,2093,VERB
150,had,2026,VERB
614,house,2024,PROPN
189,into,2015,ADP
157,on,2011,ADP
272,her,1994,PRON
445,come,1971,VERB
53,one,1967,NUM
296,we,1844,PRON
358,children,1802,NOUN
173,before,1796,ADP
305,your,1778,PRON
92,also,1769,ADV
33,day,1734,NOUN
56,land,1718,NOUN
249,an,1699,PRON
48,so,1689,ADV
425,against,1667,ADP
501,men,1653,NOUN
241,shalt,1616,NOUN
416,if,1595,SCONJ
384,at,1570,ADP
22,let,1511,VERB
348,go,1492,VERB
375,hand,1466,NOUN
123,us,1448,PRON
113,saying,1445,VERB
44,made,1405,VERB
181,went,1400,VERB
675,no,1394,INTJ
605,even,1393,ADV
606,do,1368,VERB
274,now,1356,ADV
141,behold,1326,VERB
1476,saith,1262,PROPN
279,therefore,1237,ADV
107,every,1236,PRON
164,these,1225,PRON
163,because,1209,SCONJ
68,after,1179,ADP
126,our,1165,PRON
653,things,1162,NOUN
886,down,1125,ADV
999,or,1122,CCONJ
510,sons,1116,NOUN
338,hast,1070,ADJ
1207,o,1065,INTJ
959,say,1056,VERB
124,make,1056,VERB
103,may,1027,AUX
6617,david,1011,PROPN
95,over,1008,ADP
313,did,1006,VERB
8,earth,987,NOUN
254,what,985,PRON
12321,jesus,983,PROPN
278,she,982,PRON
281,father,979,NOUN
334,who,968,PRON
87,great,962,ADJ
1009,thine,938,NOUN
213,name,928,NOUN
1194,among,916,ADP
980,away,915,ADV
292,any,912,PRON
198,put,911,VERB
243,thereof,906,ADV
61,forth,888,ADV
85,give,880,VERB
298,neither,879,PRON
82,days,877,NOUN
376,take,874,VERB
427,am,874,AUX
459,city,868,NOUN
74,brought,863,VERB
2786,moses,851,PROPN
86,two,835,NUM
569,heart,830,NOUN
403,pass,830,VERB
1875,judah,812,PROPN
5785,jerusalem,811,PROPN
613,according,797,VERB
246,should,783,AUX
303,know,763,VERB
199,whom,763,PRON
1377,nor,755,CCONJ
232,took,750,VERB
153,thus,737,ADV
60,bring,725,VERB
404,offering,724,NOUN
29,good,720,ADJ
54,place,716,NOUN
1103,word,697,NOUN
754,fathers,696,NOUN
93,set,695,VERB
289,more,686,ADJ
380,sent,685,VERB
560,yet,683,ADV
394,again,672,ADV
1003,like,669,INTJ
389,way,664,NOUN
239,eat,655,VERB
1098,mine,649,NOUN
322,heard,641,VERB
32,called,633,VERB
1534,about,632,ADP
1044,kings,624,NOUN
401,time,623,NOUN
206,evil,613,NOUN
952,egypt,611,PROPN
2845,holy,611,PROPN
253,see,597,VERB
135,own,596,ADJ
505,hundred,590,NUM
689,spake,587,ADJ
6,heaven,582,PROPN
344,done,565,VERB
748,brethren,563,NOUN
1191,many,556,ADJ
12322,christ,555,PROPN
486,hear,550,VERB
1361,fire,549,NOUN
1592,words,548,NOUN
26,saw,548,VERB
1717,how,543,SCONJ
120,thing,542,NOUN
83,years,541,NOUN
1081,himself,527,PRON
923,law,523,NOUN
1407,thousand,520,NUM
1287,speak,513,VERB
625,off,507,ADV
323,voice,505,NOUN
18,spirit,505,PROPN
306,eyes,503,NOUN
1417,cast,501,NOUN
143,given,498,VERB
1091,priest,497,NOUN
329,art,494,NOUN
1286,answered,492,VERB
758,servants,489,NOUN
757,servant,489,NOUN
539,three,485,NUM
51,together,484,ADV
291,than,482,ADP
378,ever,476,ADV
979,might,475,AUX
563,those,465,PRON
258,gave,465,VERB
469,other,464,ADJ
517,seven,463,NUM
586,through,463,ADP
549,hands,462,NOUN
193,soul,458,NOUN
255,would,451,AUX
101,life,450,NOUN
498,another,448,PRON
1006,cities,448,NOUN
430,blood,447,NOUN
420,sin,447,NOUN
2657,priests,447,NOUN
39,first,443,ADV
235,commanded,443,VERB
602,side,442,NOUN
1138,peace,429,NOUN
10,without,426,ADP
387,sword,424,NOUN
432,mouth,423,NOUN
266,flesh,420,NOUN
160,work,419,NOUN
218,gold,417,NOUN
645,high,416,ADJ
15,face,416,NOUN
320,themselves,409,PRON
260,found,402,VERB
1935,glory,402,NOUN
217,where,401,SCONJ
132,sea,400,NOUN
714,fear,400,NOUN
208,water,396,NOUN
284,wife,396,NOUN
46,under,392,ADP
2206,saul,389,PROPN
551,old,380,ADJ
694,altar,378,NOUN
1428,death,372,NOUN
1373,drink,369,VERB
395,brother,367,NOUN
629,year,367,NOUN
696,burnt,366,VERB
666,until,366,ADP
3046,congregation,364,NOUN
353,head,364,NOUN
42,midst,364,NOUN
1387,dead,364,ADJ
234,keep,362,VERB
285,both,361,PRON
367,bread,361,NOUN
998,right,359,ADJ
1512,none,358,NOUN
1687,jacob,358,PROPN
271,woman,357,NOUN
791,wherefore,348,ADJ
894,left,348,VERB
228,toward,346,ADP
515,five,345,NUM
1007,wicked,344,ADJ
792,kingdom,342,NOUN
293,yea,340,ADJ
1219,stood,339,VERB
270,taken,338,VERB
473,dwell,338,NOUN
779,nations,336,NOUN
203,sight,333,NOUN
224,same,332,ADJ
984,been,331,AUX
622,cause,328,NOUN
211,four,328,NUM
3450,tabernacle,328,NOUN
919,daughter,324,NOUN
245,die,321,VERB
727,cut,320,VERB
1316,round,320,ADJ
982,silver,320,NOUN
2880,aaron,319,PROPN
71,whose,314,DET
961,pray,313,VERB
1758,love,310,NOUN
35,night,307,NOUN
585,end,307,VERB
1116,righteousness,306,NOUN
1057,wilderness,304,NOUN
112,blessed,302,VERB
491,young,300,ADJ
3088,hosts,299,NOUN
2021,deliver,296,VERB
1272,judgment,294,NOUN
561,twenty,293,NUM
609,covenant,292,NOUN
172,field,291,NOUN
1259,being,291,AUX
147,meat,290,NOUN
717,delivered,290,VERB
388,turned,287,VERB
935,spoken,287,VERB
6652,world,287,NOUN
1522,much,287,ADJ
20,waters,287,NOUN
7900,babylon,286,PROPN
244,surely,284,ADV
564,mighty,284,ADJ
1434,chief,283,NOUN
1303,turn,283,VERB
335,told,282,VERB
1601,cometh,282,ADJ
413,why,282,SCONJ
7078,solomon,280,PROPN
750,laid,279,VERB
65,seed,279,NOUN
1142,iniquity,278,NOUN
615,seen,277,VERB
3429,written,277,VERB
963,princes,276,NOUN
1348,mercy,276,NOUN
676,rest,275,VERB
1300,gate,275,NOUN
1324,stand,274,VERB
1936,power,272,NOUN
25,light,272,ADJ
309,gods,270,NOUN
1095,enemies,269,NOUN
50,gathered,267,VERB
697,offerings,265,NOUN
2954,levites,265,VERB
872,mount,263,VERB
368,return,263,VERB
574,destroy,261,VERB
1065,full,260,ADJ
151,very,257,ADV
7885,jews,257,PROPN
1228,feet,256,NOUN
418,well,256,ADV
2721,strong,255,ADJ
511,daughters,255,NOUN
1449,philistines,254,NOUN
570,only,253,ADV
262,fall,252,VERB
631,month,250,NOUN
185,whole,250,NOUN
472,such,249,ADJ
529,ten,248,NUM
377,live,247,VERB
312,wise,247,ADJ
5655,faith,247,NOUN
1874,praise,246,NOUN
282,mother,245,NOUN
997,wilt,245,NOUN
10991,disciples,244,NOUN
2246,seek,244,VERB
1395,prophet,244,NOUN
1179,multitude,243,NOUN
412,fell,243,VERB
438,strength,242,NOUN
1225,little,242,ADJ
3668,tribe,241,NOUN
1314,lay,241,VERB
547,concerning,241,VERB
4595,prophets,241,NOUN
300,lest,240,ADP
1946,inheritance,239,NOUN
2892,works,238,VERB
616,righteous,238,ADJ
1454,offer,236,NOUN
1586,truth,235,NOUN
442,can,235,AUX
1546,send,234,VERB
3531,wisdom,234,NOUN
1814,anger,234,NOUN
1972,though,233,ADV
960,save,233,VERB
1352,some,232,PRON
351,between,232,ADP
1192,abraham,231,PROPN
743,wine,231,NOUN
587,ark,230,PROPN
724,therein,229,ADV
1045,smote,229,VERB
927,shew,228,VERB
1903,joseph,228,PROPN
37,morning,227,NOUN
455,dwelt,226,NOUN
889,nothing,225,PRON
463,begat,225,PROPN
1029,war,225,NOUN
964,pharaoh,225,PROPN
47,above,223,ADP
1321,known,222,VERB
2008,sacrifice,218,NOUN
976,tell,217,VERB
3233,joshua,217,PROPN
934,departed,216,VERB
1839,places,215,NOUN
996,thyself,215,PROPN
443,bear,215,PROPN
2423,part,214,NOUN
705,while,214,SCONJ
595,cubits,213,NOUN
1791,gone,213,VERB
502,book,213,NOUN
1715,long,212,ADJ
1018,walk,212,VERB
955,near,211,ADP
1134,serve,209,VERB
66,fruit,208,NOUN
302,doth,207,NOUN
2402,poor,205,ADJ
1307,ways,205,NOUN
6634,temple,204,PROPN
626,six,202,NUM
1843,oil,202,NOUN
1364,inhabitants,202,NOUN
922,child,201,NOUN
1171,angel,201,NOUN
514,died,201,VERB
67,tree,201,NOUN
1794,cried,199,VERB
2330,wrath,198,NOUN
1002,jordan,197,PROPN
1827,certain,196,ADJ
426,slew,196,VERB
1255,manner,196,PROPN
256,call,195,VERB
3874,unclean,194,ADJ
4255,rejoice,194,VERB
945,having,193,VERB
332,afraid,193,PROPN
1217,sat,192,VERB
156,host,192,NOUN
179,ground,192,NOUN
1229,yourselves,191,NOUN
222,stone,191,NOUN
1137,judge,191,NOUN
422,door,190,NOUN
519,twelve,188,NUM
398,sheep,187,NOUN
634,broken,186,VERB
592,within,186,ADP
1342,hold,185,VERB
75,third,185,ADJ
391,bare,185,ADJ
662,returned,184,VERB
1351,cannot,184,AUX
489,slain,183,VERB
448,whosoever,182,VERB
1273,cry,181,VERB
1085,women,181,NOUN
121,beast,180,NOUN
1828,stones,179,NOUN
2699,wall,179,PROPN
49,second,179,ADJ
925,country,179,NOUN
500,began,179,VERB
